pl_name,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,sy_dist,sy_disterr1,sy_disterr2
11 Com b,1,Radial Velocity,2007,,,,,,,,,5434.7,540.3,-413.2,0,,,,,93.1846,1.9238,-1.9238
11 Com b,1,Radial Velocity,2007,326.03,0.32,-0.32,0,,,,,6165.6,476.7,-476.7,0,0.231,0.005,-0.005,0,93.1846,1.9238,-1.9238
11 Com b,1,Radial Velocity,2007,323.21,0.06,-0.05,0,,,,,4914.89849,39.09289,-39.72855,0,0.238,0.007,-0.007,0,93.1846,1.9238,-1.9238
11 UMi b,1,Radial Velocity,2009,516.21997,3.2,-3.2,0,,,,,4684.8142,794.575,-794.575,0,0.08,0.03,-0.03,0,125.321,1.9765,-1.9765
11 UMi b,1,Radial Velocity,2009,,,,,,,,,3432.4,381.4,-413.2,0,,,,,125.321,1.9765,-1.9765
11 UMi b,1,Radial Velocity,2009,516.22,3.25,-3.25,0,,,,,3337.07,785.01,-785.01,0,0.08,0.03,-0.03,0,125.321,1.9765,-1.9765
14 And b,1,Radial Velocity,2008,186.76,0.11,-0.12,0,,,,,1131.1513,36.23244,-38.77507,0,0,,,0,75.4392,0.714,-0.714
14 And b,1,Radial Velocity,2008,,,,,,,,,1017,127.1,-190.7,0,,,,,75.4392,0.714,-0.714
14 And b,1,Radial Velocity,2008,185.84,0.23,-0.23,0,,,,,1525.5,,,0,0,,,0,75.4392,0.714,-0.714
14 Her b,2,Radial Velocity,2002,1773.4,2.5,-2.5,0,,,,,1474.67,60.39,-60.39,0,0.369,0.005,-0.005,0,17.9323,0.0073,-0.0073
14 Her b,2,Radial Velocity,2002,1766,,,0,,,,,1581.138,,,0,0.359,,,0,17.9323,0.0073,-0.0073
14 Her b,2,Radial Velocity,2002,1765.0389,1.67709,-1.87256,0,,,,,2559.47216,518.69596,-280.64248,0,0.373,0.008,-0.006,0,17.9323,0.0073,-0.0073
14 Her b,2,Radial Velocity,2002,1773.40002,2.5,-2.5,0,,,,,1481.0878,47.6745,-47.6745,0,0.37,0,0,0,17.9323,0.0073,-0.0073
14 Her b,2,Radial Velocity,2002,1796.4,8.3,-8.3,0,,,,,1506.45,19.07,-19.07,0,0.338,0.011,-0.011,0,17.9323,0.0073,-0.0073
14 Her b,2,Radial Velocity,2002,1766.41,0.67,-0.68,0,,,,,1541.46777,47.67426,-47.67426,0,0.3674,0.0035,-0.0038,0,17.9323,0.0073,-0.0073
14 Her b,2,Radial Velocity,2002,1724,50,-50,0,,,,,1554.12,,,0,0.37,0.04,-0.04,0,17.9323,0.0073,-0.0073
14 Her b,2,Radial Velocity,2002,,,,,,,,,1440.663,,,0,0.357,,,0,17.9323,0.0073,-0.0073
16 Cyg B b,1,Radial Velocity,1996,799.45,0.15,-0.15,0,,,,,556.83537,17.16273,-16.84491,0,0.6832,0.0031,-0.0031,0,21.1397,0.011,-0.0111
16 Cyg B b,1,Radial Velocity,1996,798.5,1,-1,0,,,,,533.9544,47.6745,-47.6745,0,0.681,0.017,-0.017,0,21.1397,0.011,-0.0111
16 Cyg B b,1,Radial Velocity,1996,800.8,11.7,-11.7,0,,,,,476.7,,,0,0.634,0.082,-0.082,0,21.1397,0.011,-0.0111
16 Cyg B b,1,Radial Velocity,1996,799.5,0.6,-0.6,0,,,,,533.93,22.25,-22.25,0,0.689,0.011,-0.011,0,21.1397,0.011,-0.0111
16 Cyg B b,1,Radial Velocity,1996,799.5,0.6,-0.6,0,,,,,533.93,22.25,-22.25,0,0.689,0.011,-0.011,0,21.1397,0.011,-0.0111
16 Cyg B b,1,Radial Velocity,1996,798.5,1,-1,0,,,,,565.7374,25.4264,-25.4264,0,0.68,0.02,-0.02,0,21.1397,0.011,-0.0111
17 Sco b,1,Radial Velocity,2020,578.38,2.01,-2.09,0,,,,,1373.01872,47.67426,-38.13941,0,0.06,0.03,-0.02,0,124.953,2.59,-2.59
18 Del b,1,Radial Velocity,2008,993.3,3.2,-3.2,0,,,,,3273.5,,,0,0.08,0.01,-0.01,0,76.222,0.6217,-0.6217
18 Del b,1,Radial Velocity,2008,982.85,1.06,-0.92,0,,,,,2926.24614,50.85255,-24.47279,0,0.024,0.007,-0.018,0,76.222,0.6217,-0.6217
18 Del b,1,Radial Velocity,2008,,,,,,,,,3127.3,95.3,-95.3,0,,,,,76.222,0.6217,-0.6217
24 Boo b,1,Radial Velocity,2018,30.33,0,-0.01,0,,,,,280.64248,11.44182,-13.66662,0,0.032,0.039,-0.023,0,95.9863,0.63685,-0.63685
24 Boo b,1,Radial Velocity,2018,30.3506,0.0078,-0.0077,0,,,,,289.2253,41.3179,-31.783,0,0.042,0.048,-0.029,0,95.9863,0.63685,-0.63685
24 Sex b,2,Radial Velocity,2010,452.8,2.1,-4.5,0,,,,,632.46,82.63,-120.77,0,0.09,0.14,-0.06,0,72.0691,0.6854,-0.6728
24 Sex c,2,Radial Velocity,2010,883,32.4,-13.8,0,,,,,273.32,111.24,-69.92,0,0.29,0.16,-0.09,0,72.0691,0.6854,-0.6728
30 Ari B b,1,Radial Velocity,2009,335.1,2.5,-2.5,0,,,,,3140.03,298.75,-298.75,0,0.289,0.092,-0.092,0,44.657,0.1039,-0.1034
30 Ari B b,1,Radial Velocity,2009,345.4,3.8,-3.8,0,,,,,2097.678,286.047,-286.047,0,0.18,0.11,-0.11,0,44.657,0.1039,-0.1034
